project_name,implementation_files,implementation_classes,implementation_sloc,test_files,test_classes,test_sloc,test_methods
commons-utils,106,247,19709,80,119,14389,725
commons-utils-es-default-10s,106,247,19709,103,103,19082,2738
commons-utils-es-default-1s,106,247,19709,103,103,17524,2481
commons-utils-es-default-60s,106,247,19709,102,102,18839,2735
eqbench-es-default-60s,544,652,27871,544,544,37836,4974
eqbench-es-default-10s,544,652,27871,543,543,36937,4875
eqbench-es-default-1s,544,652,27871,544,544,35666,4718
repo-reapers (total),41292,50474,2735127,22281,30894,2012601,81810
repo-reapers (mean),65,79,4320,35,48,3179,162
repo-reapers (median),49,56,3253,23,26,2107,86
