mutator,total_mutants,percentage_of_total,min_percentage_across_projects,max_percentage_across_projects,initial_detection_rate,naive_10_detection_rate,naive_10_improvement,naive_50_detection_rate,naive_50_improvement,naive_200_detection_rate,naive_200_improvement,improved_10_detection_rate,improved_10_improvement,improved_50_detection_rate,improved_50_improvement,improved_200_detection_rate,improved_200_improvement
Math,61841,0.59,0.52,0.62,0.51,0.54,2.75,0.55,3.62,0.55,3.99,0.52,1.12,0.54,3.13,0.54,3.37
ConditionalsBoundary,11501,0.11,0.08,0.12,0.28,0.29,0.9,0.29,1.15,0.29,1.21,0.3,2.02,0.3,2.3,0.3,2.55
RemoveConditionalOrderElse,11501,0.11,0.08,0.12,0.61,0.62,0.91,0.62,1.08,0.62,1.21,0.62,0.98,0.62,1.2,0.62,1.39
PrimitiveReturns,7731,0.07,0.06,0.1,0.89,0.9,0.26,0.9,0.2,0.9,0.2,0.9,0.51,0.9,0.35,0.9,0.47
RemoveConditionalEqualElse,5536,0.05,0.03,0.1,0.59,0.6,1.15,0.61,1.71,0.61,2.07,0.61,1.89,0.61,2.12,0.61,2.2
InvertNegs,3122,0.03,0.03,0.03,0.59,0.6,1.12,0.6,1.14,0.61,1.7,0.6,1.42,0.6,1.14,0.61,2.08
VoidMethodCall,973,0.93,0.58,0.01,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.18,0.25,0.0,0.25,0.53
NullReturnVals,933,0.89,0.02,0.03,0.99,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0
BooleanTrueReturnVals,569,0.54,0.17,0.01,0.99,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0
Increments,546,0.52,0.5,0.54,0.73,0.72,-0.33,0.73,0.35,0.73,0.57,0.72,-0.33,0.73,0.69,0.73,0.69
BooleanFalseReturnVals,250,0.24,0.09,0.63,0.88,0.88,0.0,0.88,0.0,0.88,0.0,0.88,0.0,0.88,0.0,0.88,0.0
EmptyObjectReturnVals,141,0.13,0.41,0.43,0.9,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0,0.9,0.0
