dataset,variant,exclusion_level,filter_name,total_count,accept_count,defer_count,reject_count,accept_percentage,defer_percentage,reject_percentage
main,\VariantBaseline{},Generalization,NonPassingTest,13836,13814,0,22,99.8,0.0,0.2
main,\VariantImprovedA{},Generalization,NonPassingTest,13804,11788,0,2016,85.4,0.0,14.6
main,\VariantImprovedC{},Generalization,NonPassingTest,13804,11597,0,2207,84.0,0.0,16.0
main,\VariantImprovedB{},Generalization,NonPassingTest,13804,11660,0,2144,84.5,0.0,15.5
main,\VariantNaiveA{},Generalization,NonPassingTest,13804,10743,0,3061,77.8,0.0,22.2
main,\VariantNaiveC{},Generalization,NonPassingTest,13804,9881,0,3923,71.6,0.0,28.4
main,\VariantNaiveB{},Generalization,NonPassingTest,13804,9964,0,3840,72.2,0.0,27.8
main,\VariantShared{},Test,NoAssertions,21532,19306,0,2226,89.7,0.0,10.3
main,\VariantShared{},Test,NonPassingTest,23246,21719,0,1527,93.4,0.0,6.6
main,\VariantShared{},Test,TestType,23246,23066,0,180,99.2,0.0,0.8
main,\VariantShared{},Assertion,ExcludedTest,28923,27326,0,1597,94.5,0.0,5.5
main,\VariantShared{},Assertion,MissingValue,28923,21766,0,7157,75.3,0.0,24.7
main,\VariantShared{},Assertion,ParameterType,28923,17835,6630,4458,61.7,22.9,15.4
main,\VariantShared{},Assertion,AssertionType,28923,28180,0,743,97.4,0.0,2.6
main,\VariantShared{},Assertion,VoidReturnType,28923,21763,7157,3,75.2,24.7,0.0
