project_name,baseline_variant,generalized_variant,lines_before,lines_added,lines_removed,lines_after,lines_delta,lines_delta_percentage
eqbench-es-1s,\VariantOriginal{},\VariantNaiveC{},30989,11780,1127,41642,10653,34.3767143179838
eqbench-es-1s,\VariantOriginal{},\VariantImprovedC{},30989,19019,1302,48706,17717,57.17189970634741
eqbench-es-10s,\VariantOriginal{},\VariantNaiveC{},32503,11520,1061,42962,10459,32.178568132172416
eqbench-es-10s,\VariantOriginal{},\VariantImprovedC{},32503,20353,1284,51572,19069,58.668430606405565
eqbench-es-60s,\VariantOriginal{},\VariantNaiveC{},33510,11623,1069,44064,10554,31.495076096687555
eqbench-es-60s,\VariantOriginal{},\VariantImprovedC{},33510,20288,1285,52513,19003,56.7084452402268
commons-utils-es-1s,\VariantOriginal{},\VariantNaiveC{},16563,3733,359,19937,3374,20.370705790013886
commons-utils-es-1s,\VariantOriginal{},\VariantImprovedC{},16563,5261,413,21411,4848,29.270059771780474
commons-utils-es-10s,\VariantOriginal{},\VariantNaiveC{},18124,3942,379,21687,3563,19.659015669830058
commons-utils-es-10s,\VariantOriginal{},\VariantImprovedC{},18124,5423,421,23126,5002,27.59876406974178
commons-utils-es-60s,\VariantOriginal{},\VariantNaiveC{},17886,3723,361,21248,3362,18.796824331879684
commons-utils-es-60s,\VariantOriginal{},\VariantImprovedC{},17886,5801,452,23235,5349,29.90607178799061
commons-utils-dev,\VariantOriginal{},\VariantNaiveC{},8561,421,0,8982,421,4.917649807265507
commons-utils-dev,\VariantOriginal{},\VariantImprovedC{},8561,457,0,9018,457,5.338161429739516
