project_name,is_detected,mutant_count,mutant_percentage,avg_model_operation_count,median_model_operation_count,avg_total_constraint_count,median_total_constraint_count,avg_used_constraint_percentage,median_used_constraint_percentage
eqbench-es-1s,yes,11145,51.85650474595198,147.12859956715926,9.0,6.096046523320317,2.0,47.04782301905743,80.0
eqbench-es-1s,no,10347,48.14349525404802,224.82873545780467,16.0,11.561005418685424,5.0,23.563487164138156,50.0
eqbench-es-10s,yes,11658,53.83017038370965,139.12930823217033,9.0,6.199408376527372,2.0,62.1305986623072,100.0
eqbench-es-10s,no,9999,46.16982961629035,231.44195711481095,15.0,8.287730320004076,2.0,57.52961670859568,100.0
eqbench-es-60s,yes,12052,54.75692866878692,137.69964221455047,9.0,5.500165136314701,2.0,69.98596874022833,100.0
eqbench-es-60s,no,9958,45.24307133121309,218.92671770447265,11.0,6.775424767350343,2.0,67.79181870909697,100.0
commons-utils-es-1s,yes,4390,57.969100752673974,290.06359140385524,15.0,7.323790829845528,5.0,43.94420591346588,84.61538461538461
commons-utils-es-1s,no,3183,42.030899247326026,389.17433473782023,45.0,12.510424720471036,6.0,11.824409718092067,50.0
commons-utils-es-10s,yes,4660,58.47659681264902,467.7312295577945,23.0,6.715644987328842,5.0,46.775056186412996,85.71428571428571
commons-utils-es-10s,no,3309,41.52340318735098,507.4451089523731,46.0,8.97959001394982,6.0,10.242129868481515,56.25
commons-utils-es-60s,yes,4821,59.45246022937477,374.5760566285957,20.0,6.361665741736894,5.0,47.19548306435092,85.71428571428571
commons-utils-es-60s,no,3288,40.54753977062523,423.5549683782778,41.0,10.354573249073416,6.0,11.138379927441237,54.54545454545454
commons-utils-dev,yes,4193,80.40268456375838,107.74107710373507,11.0,4.979092522825926,4.0,25.561852251897456,75.0
commons-utils-dev,no,1022,19.59731543624161,173.73593683451824,10.0,4.984423779844238,4.0,19.74719194747192,75.0
