project_name,variant,detected_percentage,survived_percentage,killed_percentage,timed_out_percentage,memory_error_percentage,run_error_percentage,detected_improvement_absolute,detected_improvement_relative,baseline_initial_detected
commons-utils-dev,\VariantInitial{},80.35,19.65,79.46,0.88,0.0,0.0,0.0,0.0,80.35
commons-utils-dev,\VariantNaiveA{},80.4,19.6,79.52,0.88,0.0,0.0,0.05000000000001137,0.06222775357810998,0.0
commons-utils-dev,\VariantNaiveB{},80.42,19.58,79.5,0.9,0.02,0.0,0.07000000000000739,0.08711885500934337,0.0
commons-utils-dev,\VariantNaiveC{},80.4,19.6,79.52,0.88,0.0,0.0,0.05000000000001137,0.06222775357810998,0.0
commons-utils-dev,\VariantImprovedA{},80.4,19.6,79.52,0.88,0.0,0.0,0.05000000000001137,0.06222775357810998,0.0
commons-utils-dev,\VariantImprovedB{},80.4,19.6,79.52,0.88,0.0,0.0,0.05000000000001137,0.06222775357810998,0.0
commons-utils-dev,\VariantImprovedC{},80.4,19.6,79.52,0.88,0.0,0.0,0.05000000000001137,0.06222775357810998,0.0
commons-utils-es-60s,\VariantInitial{},58.12,41.88,57.49,0.63,0.0,0.0,0.0,0.0,58.12
commons-utils-es-60s,\VariantNaiveA{},59.13,40.87,58.5,0.63,0.0,0.0,1.0100000000000051,1.7377838953888596,0.0
commons-utils-es-60s,\VariantNaiveB{},59.09,40.91,58.47,0.63,0.0,0.0,0.970000000000006,1.6689607708190053,0.0
commons-utils-es-60s,\VariantNaiveC{},59.35,40.65,58.72,0.62,0.0,0.01,1.230000000000004,2.116311080523063,0.0
commons-utils-es-60s,\VariantImprovedA{},59.32,40.68,58.69,0.63,0.0,0.0,1.2000000000000028,2.064693737095669,0.0
commons-utils-es-60s,\VariantImprovedB{},59.39,40.61,58.75,0.64,0.0,0.0,1.2700000000000031,2.1851342050929166,0.0
commons-utils-es-60s,\VariantImprovedC{},59.45,40.55,58.82,0.63,0.0,0.0,1.3300000000000054,2.288368891947704,0.0
commons-utils-es-1s,\VariantInitial{},56.77,43.23,56.2,0.57,0.0,0.0,0.0,0.0,56.77
commons-utils-es-1s,\VariantNaiveA{},57.78,42.22,57.21,0.57,0.0,0.0,1.009999999999998,1.7791086841641677,0.0
commons-utils-es-1s,\VariantNaiveB{},57.81,42.19,57.24,0.57,0.0,0.0,1.0399999999999991,1.8319534965650857,0.0
commons-utils-es-1s,\VariantNaiveC{},58.0,42.0,57.43,0.57,0.0,0.0,1.2299999999999969,2.1666373084375494,0.0
commons-utils-es-1s,\VariantImprovedA{},57.92,42.08,57.32,0.6,0.0,0.0,1.1499999999999986,2.0257178087017764,0.0
commons-utils-es-1s,\VariantImprovedB{},57.88,42.12,57.29,0.59,0.0,0.0,1.1099999999999994,1.9552580588338901,0.0
commons-utils-es-1s,\VariantImprovedC{},57.97,42.03,57.37,0.59,0.0,0.0,1.1999999999999957,2.1137924960366314,0.0
eqbench-es-60s,\VariantInitial{},51.64,48.36,48.28,3.37,0.0,0.0,0.0,0.0,51.64
eqbench-es-60s,\VariantNaiveA{},53.97,46.03,50.55,3.41,0.0,0.0,2.3299999999999983,4.512006196746705,0.0
eqbench-es-60s,\VariantNaiveB{},54.66,45.34,51.24,3.42,0.0,0.0,3.019999999999996,5.848179705654523,0.0
eqbench-es-60s,\VariantNaiveC{},54.98,45.02,51.55,3.42,0.0,0.0,3.3399999999999963,6.467854376452355,0.0
eqbench-es-60s,\VariantImprovedA{},52.86,47.14,49.45,3.41,0.0,0.0,1.2199999999999989,2.3625096824167287,0.0
eqbench-es-60s,\VariantImprovedB{},54.51,45.49,51.08,3.42,0.0,0.01,2.8699999999999974,5.557707203718043,0.0
eqbench-es-60s,\VariantImprovedC{},54.76,45.24,51.32,3.44,0.0,0.0,3.1199999999999974,6.0418280402788485,0.0
eqbench-es-1s,\VariantInitial{},48.1,51.9,44.99,3.11,0.0,0.0,0.0,0.0,48.1
eqbench-es-1s,\VariantNaiveA{},50.67,49.33,47.53,3.14,0.0,0.0,2.5700000000000003,5.343035343035344,0.0
eqbench-es-1s,\VariantNaiveB{},51.72,48.28,48.54,3.17,0.0,0.01,3.6199999999999974,7.525987525987521,0.0
eqbench-es-1s,\VariantNaiveC{},52.03,47.97,48.85,3.17,0.0,0.01,3.9299999999999997,8.17047817047817,0.0
eqbench-es-1s,\VariantImprovedA{},49.46,50.54,46.28,3.16,0.0,0.01,1.3599999999999994,2.8274428274428263,0.0
eqbench-es-1s,\VariantImprovedB{},51.41,48.59,48.26,3.15,0.0,0.0,3.309999999999995,6.88149688149687,0.0
eqbench-es-1s,\VariantImprovedC{},51.86,48.14,48.5,3.35,0.0,0.0,3.759999999999998,7.817047817047813,0.0
eqbench-es-10s,\VariantInitial{},50.57,49.43,47.25,3.32,0.0,0.0,0.0,0.0,50.57
eqbench-es-10s,\VariantNaiveA{},52.99,47.01,49.62,3.36,0.0,0.0,2.4200000000000017,4.785445916551319,0.0
eqbench-es-10s,\VariantNaiveB{},53.77,46.23,50.41,3.34,0.0,0.01,3.200000000000003,6.32786236899348,0.0
eqbench-es-10s,\VariantNaiveC{},54.08,45.92,50.71,3.37,0.0,0.0,3.509999999999998,6.940874035989713,0.0
eqbench-es-10s,\VariantImprovedA{},51.86,48.14,48.53,3.32,0.0,0.0,1.2899999999999991,2.5509195175004926,0.0
eqbench-es-10s,\VariantImprovedB{},53.6,46.4,50.23,3.36,0.0,0.0,3.030000000000001,5.991694680640698,0.0
eqbench-es-10s,\VariantImprovedC{},53.83,46.17,50.47,3.36,0.0,0.0,3.259999999999998,6.446509788412098,0.0
commons-utils-es-10s,\VariantInitial{},57.32,42.68,56.72,0.6,0.0,0.0,0.0,0.0,57.32
commons-utils-es-10s,\VariantNaiveA{},58.14,41.86,57.52,0.61,0.0,0.01,0.8200000000000003,1.4305652477320312,0.0
commons-utils-es-10s,\VariantNaiveB{},58.27,41.73,57.67,0.6,0.0,0.0,0.9500000000000028,1.6573621772505283,0.0
commons-utils-es-10s,\VariantNaiveC{},58.48,41.52,57.88,0.6,0.0,0.0,1.1599999999999966,2.0237264480111596,0.0
commons-utils-es-10s,\VariantImprovedA{},58.41,41.59,57.77,0.64,0.0,0.0,1.0899999999999963,1.9016050244242781,0.0
commons-utils-es-10s,\VariantImprovedB{},58.35,41.65,57.72,0.63,0.0,0.0,1.0300000000000011,1.7969295184926748,0.0
commons-utils-es-10s,\VariantImprovedC{},58.48,41.52,57.85,0.63,0.0,0.0,1.1599999999999966,2.0237264480111596,0.0
