project_name,evosuite_budget,teralizer_variant,detection_rate_decimal,runtime_seconds,detection_per_second,is_pareto_optimal,type
commons-utils-dev,10s,ES_ONLY,0.5732,5597.3096,0.000102,True,ES_ONLY
commons-utils-dev,1s,ES_ONLY,0.5677,4648.722,0.000122,True,ES_ONLY
commons-utils-dev,60s,ES_ONLY,0.5812,10239.784,5.7e-05,True,ES_ONLY
commons-utils-dev,60s,\VariantNaiveA{},0.5913,14159.703,4.2e-05,False,NAIVE
commons-utils-dev,60s,\VariantNaiveB{},0.5909,15050.805,3.9e-05,False,NAIVE
commons-utils-dev,60s,\VariantNaiveC{},0.5935,19925.227,3e-05,False,NAIVE
commons-utils-dev,1s,\VariantNaiveA{},0.5778,7595.2305,7.6e-05,False,NAIVE
commons-utils-dev,1s,\VariantNaiveB{},0.5781,10304.796,5.6e-05,False,NAIVE
commons-utils-dev,1s,\VariantNaiveC{},0.58,12163.617,4.8e-05,False,NAIVE
commons-utils-dev,10s,\VariantNaiveA{},0.5814,10445.058,5.6e-05,True,NAIVE
commons-utils-dev,10s,\VariantNaiveB{},0.5827,11573.414,5e-05,False,NAIVE
commons-utils-dev,10s,\VariantNaiveC{},0.5848,16496.871,3.5e-05,False,NAIVE
commons-utils-dev,60s,\VariantImprovedA{},0.5932,13938.734,4.3e-05,True,IMPROVED
commons-utils-dev,60s,\VariantImprovedB{},0.5939,14727.5205,4e-05,True,IMPROVED
commons-utils-dev,60s,\VariantImprovedC{},0.5945,15735.7,3.8e-05,True,IMPROVED
commons-utils-dev,1s,\VariantImprovedA{},0.5792,7294.4746,7.9e-05,True,IMPROVED
commons-utils-dev,1s,\VariantImprovedB{},0.5788,8171.577,7.1e-05,False,IMPROVED
commons-utils-dev,1s,\VariantImprovedC{},0.5797,10256.429,5.7e-05,False,IMPROVED
commons-utils-dev,10s,\VariantImprovedA{},0.5841,11081.515,5.3e-05,True,IMPROVED
commons-utils-dev,10s,\VariantImprovedB{},0.5835,10603.383,5.5e-05,True,IMPROVED
commons-utils-dev,10s,\VariantImprovedC{},0.5848,13270.355,4.4e-05,True,IMPROVED
eqbench,10s,ES_ONLY,0.5057,29861.062,1.7e-05,True,ES_ONLY
eqbench,1s,ES_ONLY,0.481,26479.273,1.8e-05,True,ES_ONLY
eqbench,60s,ES_ONLY,0.5164,55075.223,9e-06,False,ES_ONLY
eqbench,60s,\VariantNaiveA{},0.5397,67944.98,8e-06,False,NAIVE
eqbench,60s,\VariantNaiveB{},0.5466,68782.2,8e-06,True,NAIVE
eqbench,60s,\VariantNaiveC{},0.5498,93017.09,6e-06,True,NAIVE
eqbench,1s,\VariantNaiveA{},0.5067,36727.867,1.4e-05,True,NAIVE
eqbench,1s,\VariantNaiveB{},0.5172,37531.945,1.4e-05,True,NAIVE
eqbench,1s,\VariantNaiveC{},0.5203,46903.016,1.1e-05,False,NAIVE
eqbench,10s,\VariantNaiveA{},0.5299,43145.883,1.2e-05,False,NAIVE
eqbench,10s,\VariantNaiveB{},0.5377,45397.996,1.2e-05,True,NAIVE
eqbench,10s,\VariantNaiveC{},0.5408,62938.164,9e-06,True,NAIVE
eqbench,60s,\VariantImprovedA{},0.5286,65173.016,8e-06,False,IMPROVED
eqbench,60s,\VariantImprovedB{},0.5451,68092.91,8e-06,True,IMPROVED
eqbench,60s,\VariantImprovedC{},0.5476,75081.43,7e-06,True,IMPROVED
eqbench,1s,\VariantImprovedA{},0.4946,36552.375,1.4e-05,False,IMPROVED
eqbench,1s,\VariantImprovedB{},0.5141,37457.43,1.4e-05,True,IMPROVED
eqbench,1s,\VariantImprovedC{},0.5186,43019.83,1.2e-05,False,IMPROVED
eqbench,10s,\VariantImprovedA{},0.5186,41525.32,1.2e-05,True,IMPROVED
eqbench,10s,\VariantImprovedB{},0.536,42256.227,1.3e-05,True,IMPROVED
eqbench,10s,\VariantImprovedC{},0.5383,48268.61,1.1e-05,True,IMPROVED
