project_name,base_project_name,stage_group,variant,total_runtime_seconds,is_shared_stage,step_order
commons-utils-dev,commons-utils-dev,Stage 1 + 2,\VariantShared{},81.56,True,1
commons-utils-dev,commons-utils-dev,Stage 3,\VariantShared{},59.76,True,2
commons-utils-dev,commons-utils-dev,Stage 5,\VariantShared{},1282.97,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantBaseline{},5.34,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantBaseline{},1110.38,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantNaiveA{},25.3,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantNaiveA{},1496.39,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantNaiveB{},27.46,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantNaiveB{},1490.34,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantNaiveC{},28.08,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantNaiveC{},2200.83,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantImprovedA{},28.05,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantImprovedA{},1353.89,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantImprovedB{},30.22,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantImprovedB{},1419.98,False,4
commons-utils-dev,commons-utils-dev,Stage 4,\VariantImprovedC{},25.67,False,3
commons-utils-dev,commons-utils-dev,Stage 5,\VariantImprovedC{},1505.7,False,4
commons-utils-es-60s,commons-utils-dev,Stage 1 + 2,\VariantShared{},130.9,True,1
commons-utils-es-60s,commons-utils-dev,Stage 3,\VariantShared{},600.03,True,2
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantShared{},1544.53,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantBaseline{},12.9,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantBaseline{},2408.99,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantNaiveA{},91.74,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantNaiveA{},3127.55,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantNaiveB{},80.28,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantNaiveB{},4027.9,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantNaiveC{},79.65,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantNaiveC{},8903.6,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantImprovedA{},83.97,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantImprovedA{},2912.19,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantImprovedB{},85.36,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantImprovedB{},3699.63,False,4
commons-utils-es-60s,commons-utils-dev,Stage 4,\VariantImprovedC{},93.23,False,3
commons-utils-es-60s,commons-utils-dev,Stage 5,\VariantImprovedC{},4699.91,False,4
commons-utils-es-1s,commons-utils-dev,Stage 1 + 2,\VariantShared{},96.88,True,1
commons-utils-es-1s,commons-utils-dev,Stage 3,\VariantShared{},213.18,True,2
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantShared{},1306.45,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantBaseline{},7.5,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantBaseline{},1793.47,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantNaiveA{},60.26,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantNaiveA{},2594.52,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantNaiveB{},61.0,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantNaiveB{},5303.67,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantNaiveC{},61.57,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantNaiveC{},7162.61,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantImprovedA{},62.2,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantImprovedA{},2291.7,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantImprovedB{},61.07,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantImprovedB{},3169.98,False,4
commons-utils-es-1s,commons-utils-dev,Stage 4,\VariantImprovedC{},62.07,False,3
commons-utils-es-1s,commons-utils-dev,Stage 5,\VariantImprovedC{},5253.86,False,4
eqbench-es-60s,eqbench,Stage 1 + 2,\VariantShared{},452.9,True,1
eqbench-es-60s,eqbench,Stage 3,\VariantShared{},1818.59,True,2
eqbench-es-60s,eqbench,Stage 5,\VariantShared{},7321.39,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantBaseline{},12.25,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantBaseline{},7143.78,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantNaiveA{},168.43,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantNaiveA{},10470.96,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantNaiveB{},158.25,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantNaiveB{},11317.21,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantNaiveC{},173.95,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantNaiveC{},35538.16,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantImprovedA{},154.32,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantImprovedA{},7711.78,False,4
eqbench-es-60s,eqbench,Stage 4,\VariantImprovedB{},170.92,False,3
eqbench-es-60s,eqbench,Stage 5,\VariantImprovedB{},10615.92,False,4
