project_name,baseline_variant,generalized_variant,runtime_before_seconds,runtime_added_seconds,runtime_removed_seconds,runtime_after_seconds,runtime_delta_seconds,runtime_delta_percentage
eqbench-es-1s,\VariantOriginal{},\VariantNaiveC{},17.44,100.94,0.74,117.65,100.2,574.49
eqbench-es-1s,\VariantOriginal{},\VariantImprovedC{},17.44,101.62,0.68,118.38,100.94,578.72
eqbench-es-10s,\VariantOriginal{},\VariantNaiveC{},16.7,106.19,0.66,122.23,105.53,632.03
eqbench-es-10s,\VariantOriginal{},\VariantImprovedC{},16.7,139.64,0.56,155.77,139.08,832.93
eqbench-es-60s,\VariantOriginal{},\VariantNaiveC{},18.21,221.07,0.76,238.52,220.31,1210.01
eqbench-es-60s,\VariantOriginal{},\VariantImprovedC{},18.21,124.68,0.69,142.2,123.99,680.98
commons-utils-es-1s,\VariantOriginal{},\VariantNaiveC{},4.31,114.42,0.09,118.64,114.33,2651.46
commons-utils-es-1s,\VariantOriginal{},\VariantImprovedC{},4.31,29.49,0.14,33.66,29.35,680.55
commons-utils-es-10s,\VariantOriginal{},\VariantNaiveC{},7.4,148.54,0.14,155.8,148.4,2005.16
commons-utils-es-10s,\VariantOriginal{},\VariantImprovedC{},7.4,71.5,0.21,78.7,71.3,963.34
commons-utils-es-60s,\VariantOriginal{},\VariantNaiveC{},6.3,122.11,0.07,128.34,122.04,1936.24
commons-utils-es-60s,\VariantOriginal{},\VariantImprovedC{},6.3,28.07,0.08,34.29,27.99,444.08
commons-utils-dev,\VariantOriginal{},\VariantNaiveC{},7.95,4.54,0.0,12.48,4.54,57.11
commons-utils-dev,\VariantOriginal{},\VariantImprovedC{},7.95,0.74,0.0,8.69,0.74,9.36
