project_name,stage_group,processing_step,step_runtime_seconds,stage_total_runtime_seconds,project_total_runtime_seconds,percentage_of_stage,percentage_of_project
commons-utils-dev,Stage 1 + 2,ADD_DEPENDENCIES,0.04,81.56,12172.02,0.05,0.0
commons-utils-dev,Stage 1 + 2,ANALYZE_TESTS,1.17,81.56,12172.02,1.44,0.01
commons-utils-dev,Stage 1 + 2,BUILD_PROJECT_ORIGINAL,3.54,81.56,12172.02,4.33,0.03
commons-utils-dev,Stage 1 + 2,BUILD_SPOON_MODEL,2.22,81.56,12172.02,2.72,0.02
commons-utils-dev,Stage 1 + 2,COLLECT_JACOCO_DATA_ORIGINAL,1.6,81.56,12172.02,1.96,0.01
commons-utils-dev,Stage 1 + 2,COLLECT_JUNIT_REPORTS_ORIGINAL,6.22,81.56,12172.02,7.63,0.05
commons-utils-dev,Stage 1 + 2,EXECUTE_TESTS_ORIGINAL,61.26,81.56,12172.02,75.11,0.5
commons-utils-dev,Stage 1 + 2,FILTER_ASSERTIONS,1.9,81.56,12172.02,2.33,0.02
commons-utils-dev,Stage 1 + 2,FILTER_TESTS,0.45,81.56,12172.02,0.56,0.0
commons-utils-dev,Stage 1 + 2,FILTER_TESTS_ORIGINAL,1.22,81.56,12172.02,1.5,0.01
commons-utils-dev,Stage 1 + 2,SETUP_PROJECT,1.94,81.56,12172.02,2.38,0.02
commons-utils-dev,Stage 3,ADD_JPF_INSTRUMENTATION,5.71,119.42,12172.02,4.78,0.05
commons-utils-dev,Stage 3,ANALYZE_JPF,7.49,119.42,12172.02,6.27,0.06
commons-utils-dev,Stage 3,BUILD_PROJECT_INITIAL,4.64,119.42,12172.02,3.88,0.04
commons-utils-dev,Stage 3,BUILD_PROJECT_INSTRUMENTED,6.76,119.42,12172.02,5.66,0.06
commons-utils-dev,Stage 3,CLEANUP_JPF_INSTRUMENTATION,0.1,119.42,12172.02,0.08,0.0
commons-utils-dev,Stage 3,COLLECT_JUNIT_REPORTS_INITIAL,0.51,119.42,12172.02,0.43,0.0
commons-utils-dev,Stage 3,EXECUTE_JPF,39.71,119.42,12172.02,33.25,0.33
commons-utils-dev,Stage 3,EXECUTE_TESTS_INITIAL,54.52,119.42,12172.02,45.65,0.45
commons-utils-dev,Stage 4,BUILD_PROJECT_GENERALIZED,61.42,5351.37,12172.02,1.15,0.5
commons-utils-dev,Stage 4,CLEANUP_GENERALIZATION,0.45,5351.37,12172.02,0.01,0.0
commons-utils-dev,Stage 4,COLLECT_JUNIT_REPORTS_GENERALIZED,9.74,5351.37,12172.02,0.18,0.08
commons-utils-dev,Stage 4,EXECUTE_TESTS_GENERALIZED,5106.14,5351.37,12172.02,95.42,41.95
commons-utils-dev,Stage 4,FILTER_GENERALIZATIONS,3.96,5351.37,12172.02,0.07,0.03
commons-utils-dev,Stage 4,GENERALIZE_TESTS,169.66,5351.37,12172.02,3.17,1.39
commons-utils-dev,Stage 5,COLLECT_JACOCO_DATA_GENERALIZED,15.97,6619.67,12172.02,0.24,0.13
commons-utils-dev,Stage 5,COLLECT_JACOCO_DATA_INITIAL,1.62,6619.67,12172.02,0.02,0.01
commons-utils-dev,Stage 5,COLLECT_PIT_DATA_GENERALIZED,5380.38,6619.67,12172.02,81.28,44.2
commons-utils-dev,Stage 5,COLLECT_PIT_DATA_INITIAL,590.97,6619.67,12172.02,8.93,4.86
commons-utils-dev,Stage 5,COLLECT_PIT_DATA_ORIGINAL,630.73,6619.67,12172.02,9.53,5.18
commons-utils-es-60s,Stage 1 + 2,ADD_DEPENDENCIES,0.04,130.9,32583.3,0.03,0.0
commons-utils-es-60s,Stage 1 + 2,ANALYZE_TESTS,2.37,130.9,32583.3,1.81,0.01
commons-utils-es-60s,Stage 1 + 2,BUILD_PROJECT_ORIGINAL,4.49,130.9,32583.3,3.43,0.01
commons-utils-es-60s,Stage 1 + 2,BUILD_SPOON_MODEL,2.99,130.9,32583.3,2.29,0.01
commons-utils-es-60s,Stage 1 + 2,COLLECT_JACOCO_DATA_ORIGINAL,1.85,130.9,32583.3,1.42,0.01
commons-utils-es-60s,Stage 1 + 2,COLLECT_JUNIT_REPORTS_ORIGINAL,5.57,130.9,32583.3,4.26,0.02
commons-utils-es-60s,Stage 1 + 2,EXECUTE_TESTS_ORIGINAL,102.27,130.9,32583.3,78.13,0.31
commons-utils-es-60s,Stage 1 + 2,FILTER_ASSERTIONS,4.6,130.9,32583.3,3.52,0.01
commons-utils-es-60s,Stage 1 + 2,FILTER_TESTS,1.9,130.9,32583.3,1.45,0.01
commons-utils-es-60s,Stage 1 + 2,FILTER_TESTS_ORIGINAL,3.04,130.9,32583.3,2.32,0.01
commons-utils-es-60s,Stage 1 + 2,SETUP_PROJECT,1.76,130.9,32583.3,1.35,0.01
commons-utils-es-60s,Stage 3,ADD_JPF_INSTRUMENTATION,10.71,693.77,32583.3,1.54,0.03
commons-utils-es-60s,Stage 3,ANALYZE_JPF,38.99,693.77,32583.3,5.62,0.12
commons-utils-es-60s,Stage 3,BUILD_PROJECT_INITIAL,4.89,693.77,32583.3,0.7,0.01
commons-utils-es-60s,Stage 3,BUILD_PROJECT_INSTRUMENTED,5.34,693.77,32583.3,0.77,0.02
commons-utils-es-60s,Stage 3,CLEANUP_JPF_INSTRUMENTATION,0.48,693.77,32583.3,0.07,0.0
commons-utils-es-60s,Stage 3,COLLECT_JUNIT_REPORTS_INITIAL,2.24,693.77,32583.3,0.32,0.01
commons-utils-es-60s,Stage 3,EXECUTE_JPF,544.51,693.77,32583.3,78.48,1.67
commons-utils-es-60s,Stage 3,EXECUTE_TESTS_INITIAL,86.6,693.77,32583.3,12.48,0.27
commons-utils-es-60s,Stage 4,BUILD_PROJECT_GENERALIZED,108.16,16284.53,32583.3,0.66,0.33
commons-utils-es-60s,Stage 4,CLEANUP_GENERALIZATION,1.04,16284.53,32583.3,0.01,0.0
commons-utils-es-60s,Stage 4,COLLECT_JUNIT_REPORTS_GENERALIZED,41.98,16284.53,32583.3,0.26,0.13
commons-utils-es-60s,Stage 4,EXECUTE_TESTS_GENERALIZED,15580.7,16284.53,32583.3,95.68,47.82
commons-utils-es-60s,Stage 4,FILTER_GENERALIZATIONS,26.55,16284.53,32583.3,0.16,0.08
commons-utils-es-60s,Stage 4,GENERALIZE_TESTS,526.1,16284.53,32583.3,3.23,1.61
commons-utils-es-60s,Stage 5,COLLECT_JACOCO_DATA_GENERALIZED,17.86,15474.1,32583.3,0.12,0.05
commons-utils-es-60s,Stage 5,COLLECT_JACOCO_DATA_INITIAL,1.82,15474.1,32583.3,0.01,0.01
commons-utils-es-60s,Stage 5,COLLECT_PIT_DATA_GENERALIZED,14005.41,15474.1,32583.3,90.51,42.98
commons-utils-es-60s,Stage 5,COLLECT_PIT_DATA_INITIAL,716.0,15474.1,32583.3,4.63,2.2
commons-utils-es-60s,Stage 5,COLLECT_PIT_DATA_ORIGINAL,733.0,15474.1,32583.3,4.74,2.25
commons-utils-es-1s,Stage 1 + 2,ADD_DEPENDENCIES,0.03,96.88,29562.36,0.03,0.0
commons-utils-es-1s,Stage 1 + 2,ANALYZE_TESTS,1.89,96.88,29562.36,1.95,0.01
