project,main_files,main_classes,main_sloc,test_files,test_classes,test_sloc,test_methods
\DatasetEqBenchA{},544,652,"27,871",544,544,"35,666","4,718"
\DatasetEqBenchB{},544,652,"27,871",543,543,"36,937","4,875"
\DatasetEqBenchC{},544,652,"27,871",544,544,"37,836","4,974"
\DatasetCommonsA{},106,247,"19,709",103,103,"17,524","2,481"
\DatasetCommonsB{},106,247,"19,709",103,103,"19,082","2,738"
\DatasetCommonsC{},106,247,"19,709",102,102,"18,839","2,735"
\DatasetCommonsDev{},106,247,"19,709",80,119,"14,389",725
\DatasetRepoReapers{} (total),"38,916","47,334","2,552,342","20,948","28,990","1,867,904","85,368"
\DatasetRepoReapers{} (mean),66,80,"4,362",35,49,"3,192",163
\DatasetRepoReapers{} (median),50,57,"3,321",24,29,"2,131",82
