mutator,total_mutants,percent,INITIAL,NAIVE_200_TRIES,naive_delta_display,IMPROVED_200_TRIES,improved_delta_display
Math,"61,841",59.10,50.99,54.98,(+3.99),54.36,(+3.37)
ConditionalsBoundary,"11,501",10.99,27.68,28.89,(+1.21),30.23,(+2.55)
RemoveConditionalOrderElse,"11,501",10.99,61.08,62.29,(+1.21),62.47,(+1.39)
PrimitiveReturns,"7,731",7.39,89.42,89.63,(+0.20),89.90,(+0.47)
RemoveConditionalEqualElse,"5,536",5.29,58.80,60.87,(+2.07),61.00,(+2.20)
InvertNegs,"3,122",2.98,58.91,60.61,(+1.70),60.99,(+2.08)
VoidMethodCall,973,0.93,24.96,24.96,--,25.49,(+0.53)
NullReturnVals,933,0.89,98.77,98.77,--,98.77,--
BooleanTrueReturnVals,569,0.54,98.55,98.55,--,98.55,--
Increments,546,0.52,72.81,73.38,(+0.57),73.50,(+0.69)
BooleanFalseReturnVals,250,0.24,87.87,87.87,--,87.87,--
EmptyObjectReturnVals,141,0.13,90.30,90.30,--,90.30,--
