level,filter,total,accept,accept_pct,defer,defer_pct,reject,reject_pct
Test,NonPassingTest,"82,445","73,780",89.5%,0,0.0%,"8,665",10.5%
Test,TestType,"82,445","82,246",99.8%,0,0.0%,199,0.2%
Test,NoAssertions,"73,662","49,396",67.1%,0,0.0%,"24,266",32.9%
Test,DisabledTest,"73,662","73,657",100.0%,0,0.0%,5,0.0%
Test,InheritedTestCase,"73,662","72,609",98.6%,0,0.0%,"1,053",1.4%
Test,MockingFramework,"73,662","66,689",90.5%,0,0.0%,"6,973",9.5%
Assertion,AssertionType,"180,548","148,901",82.5%,0,0.0%,"31,647",17.5%
Assertion,ExcludedTest,"180,548","141,764",78.5%,0,0.0%,"38,784",21.5%
Assertion,MissingValue,"180,548","109,865",60.9%,0,0.0%,"70,683",39.1%
Assertion,ParameterType,"180,548","48,992",27.1%,"65,706",36.4%,"65,850",36.5%
Assertion,ReturnType,"180,548","52,400",29.0%,"70,683",39.1%,"57,465",31.8%
Assertion,StringOperation,"180,548","175,345",97.1%,0,0.0%,"5,203",2.9%
Generalization,NonPassingTest,"2,035","1,615",79.4%,0,0.0%,420,20.6%
